round,clean_acc,clean_acc_percent,checkpoint_path,elapsed_seconds
1,0.1063,10.63,,15.714944839477539
2,0.1088,10.879999999999999,,28.690908670425415
3,0.1171,11.709999999999999,,41.368377923965454
4,0.1255,12.55,,53.90594029426575
5,0.1332,13.320000000000002,,66.53868675231934
6,0.1314,13.139999999999999,,79.13411927223206
7,0.1271,12.709999999999999,,91.9156231880188
8,0.1189,11.89,,104.65115356445312
9,0.1128,11.28,,117.34687304496765
10,0.111,11.1,/home/kemove/zlf/FedSGD2/results/table_iv_ours_main1_aligned_seed0/checkpoints/round_0010.pth,130.06134414672852
11,0.1104,11.04,,142.77706003189087
12,0.111,11.1,,155.4411072731018
13,0.1117,11.17,,168.31845688819885
14,0.1136,11.360000000000001,,181.0356867313385
15,0.1152,11.52,,193.7365734577179
16,0.1181,11.81,,206.44295501708984
17,0.1226,12.26,,219.15487694740295
18,0.1292,12.920000000000002,,231.90047979354858
19,0.1381,13.81,,244.6227104663849
20,0.1475,14.75,/home/kemove/zlf/FedSGD2/results/table_iv_ours_main1_aligned_seed0/checkpoints/round_0020.pth,257.37340903282166
21,0.1559,15.590000000000002,,270.099648475647
22,0.1668,16.68,,282.8764877319336
23,0.18,18.0,,295.58458280563354
24,0.1909,19.09,,308.3243980407715
25,0.2012,20.119999999999997,,321.06289982795715
26,0.2125,21.25,,333.86093854904175
27,0.2209,22.09,,346.6917440891266
28,0.2282,22.82,,359.3929650783539
29,0.2364,23.64,,372.14265179634094
30,0.243,24.3,/home/kemove/zlf/FedSGD2/results/table_iv_ours_main1_aligned_seed0/checkpoints/round_0030.pth,384.92602944374084
31,0.2491,24.91,,397.69870829582214
32,0.2548,25.480000000000004,,410.47586965560913
33,0.2608,26.08,,423.2840096950531
34,0.2657,26.57,,436.093448638916
35,0.2671,26.71,,448.9575152397156
36,0.2693,26.93,,461.7607886791229
37,0.2706,27.060000000000002,,474.54674530029297
38,0.2736,27.36,,487.27063941955566
39,0.2755,27.55,,500.13158440589905
40,0.2776,27.76,/home/kemove/zlf/FedSGD2/results/table_iv_ours_main1_aligned_seed0/checkpoints/round_0040.pth,512.9893553256989
41,0.2795,27.950000000000003,,525.7684233188629
42,0.2806,28.060000000000002,,538.5482952594757
43,0.283,28.299999999999997,,551.350604057312
44,0.2862,28.62,,564.2006556987762
45,0.2885,28.849999999999998,,577.0133016109467
46,0.2914,29.14,,589.8068556785583
47,0.293,29.299999999999997,,602.6670753955841
48,0.2956,29.56,,615.4288375377655
49,0.2975,29.75,,628.3914985656738
50,0.2989,29.89,/home/kemove/zlf/FedSGD2/results/table_iv_ours_main1_aligned_seed0/checkpoints/round_0050.pth,641.232784986496
51,0.302,30.2,,654.0887222290039
52,0.3052,30.520000000000003,,666.887969493866
53,0.3089,30.89,,679.7420535087585
54,0.3112,31.119999999999997,,692.6555986404419
55,0.3125,31.25,,705.4525856971741
56,0.3167,31.669999999999998,,718.3209128379822
57,0.3206,32.06,,731.1917617321014
58,0.324,32.4,,744.1058368682861
59,0.3266,32.66,,757.025622844696
60,0.3296,32.96,/home/kemove/zlf/FedSGD2/results/table_iv_ours_main1_aligned_seed0/checkpoints/round_0060.pth,769.9500532150269
61,0.3331,33.31,,782.8134512901306
62,0.3358,33.58,,795.8590705394745
63,0.3378,33.78,,808.7051727771759
64,0.3409,34.089999999999996,,821.5667865276337
65,0.3435,34.35,,834.4158532619476
66,0.3463,34.63,,847.2640697956085
67,0.3497,34.97,,860.1489198207855
68,0.3521,35.21,,875.6002917289734
69,0.3554,35.54,,900.5153112411499
70,0.3573,35.730000000000004,/home/kemove/zlf/FedSGD2/results/table_iv_ours_main1_aligned_seed0/checkpoints/round_0070.pth,913.552809715271
71,0.358,35.8,,926.4518594741821
72,0.3606,36.059999999999995,,939.3629221916199
73,0.3619,36.19,,952.3514864444733
74,0.364,36.4,,965.2334456443787
75,0.3657,36.57,,978.1518046855927
76,0.3679,36.79,,991.1976103782654
77,0.3705,37.05,,1004.0693950653076
78,0.3728,37.28,,1017.0738649368286
79,0.3759,37.59,,1029.989382982254
80,0.378,37.8,/home/kemove/zlf/FedSGD2/results/table_iv_ours_main1_aligned_seed0/checkpoints/round_0080.pth,1042.9966173171997
81,0.3805,38.05,,1055.882378578186
82,0.3825,38.25,,1068.7337458133698
83,0.384,38.4,,1081.6229619979858
84,0.3843,38.43,,1094.4660472869873
85,0.3861,38.61,,1107.3457436561584
86,0.3873,38.73,,1120.2764644622803
87,0.3881,38.81,,1133.1577541828156
88,0.3892,38.92,,1146.019636631012
89,0.391,39.1,,1158.955560207367
90,0.3913,39.129999999999995,/home/kemove/zlf/FedSGD2/results/table_iv_ours_main1_aligned_seed0/checkpoints/round_0090.pth,1171.762995481491
91,0.3947,39.47,,1184.9549310207367
92,0.3967,39.67,,1213.044245004654
93,0.3983,39.83,,1241.7715904712677
94,0.4008,40.08,,1268.2918429374695
95,0.4042,40.42,,1297.0631263256073
96,0.4055,40.550000000000004,,1322.8835761547089
97,0.4075,40.75,,1349.93830037117
98,0.4094,40.94,,1378.6975004673004
99,0.411,41.099999999999994,,1404.5920627117157
100,0.4119,41.19,/home/kemove/zlf/FedSGD2/results/table_iv_ours_main1_aligned_seed0/checkpoints/round_0100.pth,1432.858202457428
