round,clean_acc,clean_acc_percent,checkpoint_path,elapsed_seconds
1,0.1021,10.209999999999999,,16.133654832839966
2,0.1035,10.35,,29.31115984916687
3,0.1092,10.92,,42.003395080566406
4,0.1272,12.72,,54.7848916053772
5,0.1479,14.790000000000001,,67.52702236175537
6,0.1546,15.459999999999999,,80.29528975486755
7,0.1545,15.45,,93.06351161003113
8,0.1432,14.32,,105.81817603111267
9,0.1372,13.719999999999999,,118.57355904579163
10,0.1339,13.389999999999999,,131.3517575263977
11,0.1369,13.69,,144.12151193618774
12,0.1401,14.01,,156.91274118423462
13,0.1463,14.63,,169.68238067626953
14,0.1524,15.24,,182.4788568019867
15,0.1603,16.03,,195.28831028938293
16,0.1685,16.85,,208.11717295646667
17,0.1753,17.53,,220.9420304298401
18,0.1844,18.44,,233.75401091575623
19,0.1918,19.18,,246.56301760673523
20,0.1975,19.75,,259.41315269470215
21,0.2067,20.669999999999998,,272.2730402946472
22,0.2155,21.55,,285.1075963973999
23,0.222,22.2,,298.01174998283386
24,0.2265,22.650000000000002,,310.8315534591675
25,0.2329,23.29,,323.6944625377655
26,0.2358,23.580000000000002,,336.56469893455505
27,0.2396,23.96,,349.4570326805115
28,0.2434,24.34,,362.3008985519409
29,0.2459,24.59,,375.1905107498169
30,0.2484,24.84,,388.0806231498718
31,0.2521,25.21,,401.00149297714233
32,0.2587,25.869999999999997,,413.88229966163635
33,0.2636,26.36,,426.81395053863525
34,0.268,26.8,,439.74970507621765
35,0.2717,27.169999999999998,,452.7532277107239
36,0.2757,27.57,,465.69614696502686
37,0.2793,27.93,,478.70912194252014
38,0.2827,28.27,,491.63775730133057
39,0.2857,28.57,,504.6150622367859
40,0.2899,28.99,,517.5490210056305
41,0.2919,29.189999999999998,,530.4862916469574
42,0.2938,29.38,,543.4230668544769
43,0.2966,29.659999999999997,,556.3705456256866
44,0.2985,29.849999999999998,,569.3038539886475
45,0.3016,30.159999999999997,,582.2920937538147
46,0.3065,30.65,,595.2404968738556
47,0.3086,30.86,,608.1314442157745
48,0.3115,31.15,,621.0616302490234
49,0.3154,31.540000000000003,,633.9847025871277
50,0.3187,31.869999999999997,,646.8783328533173
51,0.3231,32.31,,659.7654106616974
52,0.3276,32.76,,672.6581294536591
53,0.3331,33.31,,685.5447115898132
54,0.3358,33.58,,698.5165967941284
55,0.3397,33.97,,711.4214189052582
56,0.343,34.300000000000004,,724.3349175453186
57,0.3468,34.68,,737.2430198192596
58,0.3473,34.73,,750.1184461116791
59,0.3498,34.98,,763.0911164283752
60,0.3528,35.28,,775.9987466335297
61,0.3551,35.510000000000005,,788.8740394115448
62,0.3561,35.61,,801.7621688842773
63,0.3559,35.589999999999996,,814.6806721687317
64,0.3569,35.69,,827.570380449295
65,0.3595,35.949999999999996,,840.453042268753
66,0.3606,36.059999999999995,,853.3511261940002
67,0.3627,36.27,,866.2184448242188
68,0.3651,36.51,,879.087619304657
69,0.3679,36.79,,891.9846203327179
70,0.3699,36.99,,904.8532700538635
71,0.3706,37.059999999999995,,917.8031480312347
72,0.3728,37.28,,930.6942751407623
73,0.3751,37.51,,943.5974781513214
74,0.3765,37.65,,956.5041604042053
75,0.3786,37.86,,969.3930523395538
76,0.3786,37.86,,982.3165302276611
77,0.38,38.0,,995.2367451190948
78,0.3813,38.129999999999995,,1008.1260068416595
79,0.3832,38.32,,1021.022096157074
80,0.3836,38.36,,1033.9186160564423
81,0.3841,38.41,,1046.8536517620087
82,0.3849,38.49,,1059.9037470817566
83,0.3862,38.62,,1072.8959500789642
84,0.3876,38.76,,1085.9192707538605
85,0.3891,38.91,,1098.9202160835266
86,0.3898,38.98,,1111.9917204380035
87,0.3927,39.269999999999996,,1125.0261495113373
88,0.394,39.4,,1138.054309129715
89,0.3948,39.48,,1151.0800681114197
90,0.3961,39.61,,1164.1348013877869
91,0.3978,39.78,,1177.151179075241
92,0.3987,39.87,,1190.1976594924927
93,0.3994,39.94,,1203.228069782257
94,0.4005,40.050000000000004,,1216.250406742096
95,0.4019,40.19,,1229.2652144432068
96,0.4032,40.32,,1242.2726938724518
97,0.4048,40.48,,1255.2986793518066
98,0.4072,40.72,,1268.319120645523
99,0.4083,40.83,,1281.3896265029907
100,0.4089,40.89,/home/kemove/zlf/FedSGD2/results/table_iv_ours_main1_aligned_seed1_r1000_fromscratch/checkpoints/round_0100.pth,1294.4478132724762
101,0.4121,41.21,,1307.502424955368
102,0.414,41.4,,1320.540097951889
103,0.4165,41.65,,1333.5901379585266
104,0.4185,41.85,,1346.619315624237
105,0.42,42.0,,1359.6510107517242
106,0.4214,42.14,,1372.7025609016418
107,0.4229,42.29,,1385.7420597076416
108,0.4252,42.52,,1398.7482554912567
109,0.4267,42.67,,1411.7828555107117
110,0.4269,42.69,,1424.8265554904938
111,0.4283,42.83,,1437.8553185462952
112,0.4297,42.970000000000006,,1450.8854415416718
113,0.43,43.0,,1463.9175605773926
114,0.4311,43.11,,1476.9918262958527
115,0.4328,43.28,,1490.0339379310608
116,0.4344,43.44,,1503.0875825881958
117,0.4354,43.54,,1516.1375358104706
118,0.4363,43.63,,1529.191529750824
119,0.439,43.9,,1542.2466294765472
120,0.4401,44.01,,1555.2641100883484
121,0.4409,44.09,,1568.3181159496307
122,0.4428,44.28,,1581.396445274353
123,0.4443,44.43,,1594.4309704303741
124,0.4455,44.55,,1607.4843385219574
125,0.4467,44.67,,1620.5131034851074
126,0.448,44.800000000000004,,1633.5401802062988
127,0.4501,45.01,,1646.592159986496
128,0.4504,45.04,,1659.614090681076
129,0.4517,45.17,,1672.6674196720123
130,0.4528,45.28,,1685.714341878891
131,0.4538,45.379999999999995,,1698.7545912265778
132,0.4555,45.550000000000004,,1711.7603509426117
133,0.4563,45.629999999999995,,1724.7852783203125
134,0.4567,45.67,,1737.8474736213684
135,0.4581,45.81,,1750.8705418109894
136,0.4597,45.97,,1763.921145439148
137,0.4613,46.129999999999995,,1776.942048549652
138,0.4624,46.239999999999995,,1789.9493112564087
139,0.4636,46.36,,1802.9629187583923
140,0.4647,46.47,,1816.006932258606
141,0.4665,46.650000000000006,,1829.0296692848206
142,0.468,46.800000000000004,,1842.0661146640778
143,0.469,46.9,,1855.0795226097107
144,0.4704,47.04,,1868.1040489673615
145,0.4722,47.22,,1881.1713507175446
146,0.4721,47.21,,1894.2161433696747
147,0.4737,47.370000000000005,,1907.250934123993
148,0.4743,47.43,,1920.2957997322083
149,0.4763,47.63,,1933.302550792694
150,0.4767,47.67,,1946.3392057418823
151,0.4781,47.81,,1959.3499438762665
152,0.479,47.9,,1972.3784611225128
153,0.4805,48.05,,1985.3991527557373
154,0.481,48.1,,1998.4361052513123
155,0.4837,48.370000000000005,,2011.4691472053528
156,0.4838,48.38,,2024.5094163417816
157,0.4847,48.47,,2037.5593206882477
158,0.4858,48.58,,2050.592465877533
159,0.4881,48.809999999999995,,2063.621646642685
160,0.489,48.9,,2076.6676909923553
161,0.4892,48.92,,2089.719386816025
162,0.4902,49.02,,2102.7595584392548
163,0.4908,49.08,,2115.8083000183105
164,0.4913,49.13,,2128.8445286750793
165,0.4935,49.35,,2141.86932015419
166,0.4943,49.43,,2154.9142796993256
167,0.4955,49.55,,2167.9807000160217
168,0.4958,49.58,,2181.0005028247833
169,0.4974,49.74,,2194.059911251068
170,0.4985,49.85,,2207.0993824005127
171,0.4986,49.86,,2220.1222128868103
172,0.4992,49.919999999999995,,2233.1527054309845
173,0.5006,50.06,,2246.1665477752686
174,0.5025,50.24999999999999,,2259.2121365070343
175,0.5034,50.339999999999996,,2272.250913143158
176,0.5034,50.339999999999996,,2285.267630815506
177,0.5048,50.480000000000004,,2298.285905122757
178,0.505,50.5,,2311.3254210948944
179,0.5059,50.59,,2324.326498746872
180,0.5058,50.580000000000005,,2337.3632946014404
181,0.5067,50.67,,2350.3904280662537
182,0.5074,50.739999999999995,,2363.416551589966
183,0.5103,51.03,,2376.450517654419
184,0.5096,50.96000000000001,,2389.468914747238
185,0.5096,50.96000000000001,,2402.516308069229
186,0.5111,51.11,,2415.549622297287
187,0.511,51.1,,2428.5711171627045
188,0.5119,51.190000000000005,,2441.6259591579437
189,0.5134,51.339999999999996,,2454.6717760562897
190,0.5142,51.42,,2467.679482936859
191,0.5141,51.41,,2480.705683708191
192,0.5158,51.580000000000005,,2493.7394161224365
193,0.5151,51.51,,2506.77051448822
194,0.5165,51.65,,2519.790905714035
195,0.5167,51.67,,2532.817670583725
196,0.5164,51.64,,2545.8287851810455
197,0.519,51.9,,2558.8690571784973
198,0.5194,51.94,,2571.9079921245575
199,0.519,51.9,,2584.9253611564636
200,0.5189,51.89,/home/kemove/zlf/FedSGD2/results/table_iv_ours_main1_aligned_seed1_r1000_fromscratch/checkpoints/round_0200.pth,2597.959314584732
201,0.5184,51.839999999999996,,2611.0022463798523
202,0.5196,51.959999999999994,,2624.0262377262115
203,0.5191,51.910000000000004,,2637.049914121628
204,0.5202,52.019999999999996,,2650.083169937134
205,0.5225,52.25,,2663.150554895401
206,0.5221,52.21,,2676.183577775955
207,0.5221,52.21,,2689.2336151599884
208,0.5218,52.18000000000001,,2702.2724001407623
209,0.5235,52.349999999999994,,2715.313889503479
210,0.5231,52.31,,2728.3580269813538
211,0.5238,52.38,,2741.3920238018036
212,0.5253,52.53,,2754.4498834609985
213,0.5268,52.68000000000001,,2767.4774186611176
214,0.5278,52.78,,2780.475389480591
215,0.5271,52.71,,2793.5447833538055
216,0.5305,53.05,,2806.5597012043
217,0.5302,53.02,,2819.622803211212
218,0.53,53.0,,2832.6520702838898
219,0.5291,52.910000000000004,,2845.691009044647
220,0.5305,53.05,,2858.736212491989
221,0.5288,52.88,,2871.809655189514
222,0.5297,52.96999999999999,,2884.8252947330475
223,0.5296,52.959999999999994,,2897.845162630081
