round,clean_acc,ASR,ASR_percent,unlearn_loss,grad_l2_norm,update_l2_norm,sparsity_or_discard_ratio,retained_ratio_if_available,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,8.183607578277588
1,0.6469,0.831,83.1,243.54991406202316,9.900946992068338,0.021531756664233598,3.863078452126523e-06,0.9999961369215479,10.689600229263306
2,0.5902,0.7519,75.19,337.1782636642456,14.488179101363126,0.041561189827652285,3.863078452126523e-06,0.9999961369215479,13.222317218780518
3,0.4547,0.5845,58.45,701.0474047660828,23.44603651965623,0.060951903758006215,3.863078452126523e-06,0.9999961369215479,15.755133628845215
4,0.2919,0.262,26.200000000000003,1818.9749946594238,43.586261745740096,0.08152319842385937,3.980141435544482e-06,0.9999960198585645,18.279191493988037
5,0.1779,0.009,0.8999999999999999,5094.012752532959,85.69518770611262,0.10699461675188125,4.214267402269378e-06,0.9999957857325977,20.818012475967407
6,0.1167,0.0,0.0,13857.383438110352,139.25681603862898,0.13969035795426554,4.214267402269378e-06,0.9999957857325977,23.327942848205566
7,0.1,0.0,0.0,31546.784774780273,186.65711687968115,0.17855636900660765,4.214267402269378e-06,0.9999957857325977,25.847686767578125
8,0.1,0.0,0.0,62256.37139892578,238.96760882900753,0.22503705227907123,4.214267402269378e-06,0.9999957857325977,28.355849504470825
9,0.1,0.0,0.0,114902.40270996094,316.01358606947923,0.28405281793535775,4.214267402269378e-06,0.9999957857325977,30.84929323196411
10,0.1,0.0,0.0,209784.72436523438,452.7954702282148,0.3682468874781317,4.214267402269378e-06,0.9999957857325977,33.38534069061279
