config_id,status,unlearn_lr,grad_clip,lambda_retain,clean_acc_before,ASR_before,clean_acc_after,ASR_after,ASR_percent_after,clean_drop_pp,ASR_drop_pp,elapsed_seconds,output_dir,error_if_any
lr0p000900_clip5_lam5,ok,0.0009,5.0,5.0,0.6512,0.8581,0.601,0.0857,8.57,5.020000000000002,77.24,17.27883553504944,/home/kemove/zlf/FedSGD2/results/table_iv_ours_revised_protocol_local_calib_seed0/lr0p000900_clip5_lam5,
lr0p000900_clip5_lam6,ok,0.0009,5.0,6.0,0.6512,0.8581,0.6276,0.3108,31.080000000000002,2.3599999999999954,54.72999999999999,17.432679414749146,/home/kemove/zlf/FedSGD2/results/table_iv_ours_revised_protocol_local_calib_seed0/lr0p000900_clip5_lam6,
lr0p000900_clip5_lam7,ok,0.0009,5.0,7.0,0.6512,0.8581,0.6422,0.4782,47.82,0.9000000000000008,37.989999999999995,17.439714193344116,/home/kemove/zlf/FedSGD2/results/table_iv_ours_revised_protocol_local_calib_seed0/lr0p000900_clip5_lam7,
lr0p000925_clip5_lam5,ok,0.000925,5.0,5.0,0.6512,0.8581,0.599,0.0687,6.87,5.220000000000002,78.94,17.136617422103882,/home/kemove/zlf/FedSGD2/results/table_iv_ours_revised_protocol_local_calib_seed0/lr0p000925_clip5_lam5,
lr0p000925_clip5_lam6,ok,0.000925,5.0,6.0,0.6512,0.8581,0.6251,0.2809,28.09,2.610000000000001,57.71999999999999,17.432136058807373,/home/kemove/zlf/FedSGD2/results/table_iv_ours_revised_protocol_local_calib_seed0/lr0p000925_clip5_lam6,
lr0p000925_clip5_lam7,ok,0.000925,5.0,7.0,0.6512,0.8581,0.6415,0.4616,46.160000000000004,0.9700000000000042,39.65,17.105557680130005,/home/kemove/zlf/FedSGD2/results/table_iv_ours_revised_protocol_local_calib_seed0/lr0p000925_clip5_lam7,
lr0p000950_clip5_lam5,ok,0.00095,5.0,5.0,0.6512,0.8581,0.5969,0.0537,5.37,5.4300000000000015,80.44,17.315310955047607,/home/kemove/zlf/FedSGD2/results/table_iv_ours_revised_protocol_local_calib_seed0/lr0p000950_clip5_lam5,
lr0p000950_clip5_lam6,ok,0.00095,5.0,6.0,0.6512,0.8581,0.6239,0.2549,25.490000000000002,2.729999999999999,60.31999999999999,17.192178964614868,/home/kemove/zlf/FedSGD2/results/table_iv_ours_revised_protocol_local_calib_seed0/lr0p000950_clip5_lam6,
lr0p000950_clip5_lam7,ok,0.00095,5.0,7.0,0.6512,0.8581,0.64,0.442,44.2,1.1199999999999988,41.61,17.07060933113098,/home/kemove/zlf/FedSGD2/results/table_iv_ours_revised_protocol_local_calib_seed0/lr0p000950_clip5_lam7,
lr0p000975_clip5_lam5,ok,0.000975,5.0,5.0,0.6512,0.8581,0.5954,0.0435,4.35,5.5799999999999965,81.46,17.00049638748169,/home/kemove/zlf/FedSGD2/results/table_iv_ours_revised_protocol_local_calib_seed0/lr0p000975_clip5_lam5,
lr0p000975_clip5_lam6,ok,0.000975,5.0,6.0,0.6512,0.8581,0.6207,0.2236,22.36,3.049999999999997,63.449999999999996,17.12405776977539,/home/kemove/zlf/FedSGD2/results/table_iv_ours_revised_protocol_local_calib_seed0/lr0p000975_clip5_lam6,
lr0p000975_clip5_lam7,ok,0.000975,5.0,7.0,0.6512,0.8581,0.641,0.4256,42.559999999999995,1.0199999999999987,43.25,17.825010538101196,/home/kemove/zlf/FedSGD2/results/table_iv_ours_revised_protocol_local_calib_seed0/lr0p000975_clip5_lam7,
lr0p001000_clip5_lam5,ok,0.001,5.0,5.0,0.6512,0.8581,0.593,0.0338,3.38,5.820000000000003,82.43,17.10824704170227,/home/kemove/zlf/FedSGD2/results/table_iv_ours_revised_protocol_local_calib_seed0/lr0p001000_clip5_lam5,
lr0p001000_clip5_lam6,ok,0.001,5.0,6.0,0.6512,0.8581,0.6184,0.1981,19.81,3.280000000000005,65.99999999999999,17.09839415550232,/home/kemove/zlf/FedSGD2/results/table_iv_ours_revised_protocol_local_calib_seed0/lr0p001000_clip5_lam6,
lr0p001000_clip5_lam7,ok,0.001,5.0,7.0,0.6512,0.8581,0.64,0.4045,40.45,1.1199999999999988,45.35999999999999,16.991292715072632,/home/kemove/zlf/FedSGD2/results/table_iv_ours_revised_protocol_local_calib_seed0/lr0p001000_clip5_lam7,
