round,clean_acc,ASR,ASR_percent,forget_ce,retain_ce,total_loss,grad_l2_norm,update_l2_norm,clean_drop_pp,ASR_drop_pp,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,0.0,0.0,7.52205753326416
1,0.65,0.8345,83.45,0.4843268236693214,0.6857605436268974,2.9444758471320656,20.615527669777435,0.02256828269592822,0.11999999999999789,2.3599999999999954,8.465891599655151
2,0.6502,0.7979,79.79,0.5426964444272658,0.6633435067008523,2.7740210505092846,20.615528887703125,0.02164202988331587,0.10000000000000009,6.0199999999999925,9.36395788192749
3,0.6501,0.7528,75.28,0.7487699003780589,0.691201413378996,2.707237152492299,20.61552759107374,0.023764745951276908,0.10999999999999899,10.529999999999994,10.262067317962646
4,0.6462,0.693,69.3,1.1942592052852405,0.7269373676356148,2.4404276539297665,20.615528759238135,0.024933310849423927,0.5000000000000004,16.51,11.156672954559326
5,0.6406,0.6099,60.99,1.812319492592531,0.7371209246270797,1.8732851533328785,20.615528013647214,0.02842785235068941,1.0600000000000054,24.819999999999997,12.040873765945435
6,0.6356,0.5164,51.64,2.2770819664001465,0.8246988934629104,1.8464125254574943,20.615528425653704,0.027559934901793284,1.5599999999999947,34.17,12.926975965499878
7,0.6269,0.4094,40.94,3.0162556346725014,0.8833827902288998,1.400658369064331,20.615528141607594,0.028364605739436086,2.429999999999999,44.87,13.817322492599487
8,0.6125,0.2709,27.089999999999996,4.22785106827231,0.8729412766063914,0.1368552656734691,20.615527977771517,0.033133758414782735,3.8699999999999957,58.71999999999999,14.70778775215149
9,0.6028,0.1466,14.66,6.109372685937321,1.0791839080698349,-0.7134530824773452,20.615527642988784,0.03236403126772923,4.84,71.15,15.591943502426147
10,0.599,0.0687,6.87,7.461936361649457,1.2192596547743852,-1.365638115826775,20.61552798771153,0.03250124534509755,5.220000000000002,78.94,16.48673701286316
