round,clean_acc,ASR,ASR_percent,unlearn_loss,grad_l2_norm,update_l2_norm,elapsed_seconds
0,0.6512,0.8581,85.81,,,,0.7080564498901367
1,0.6503,0.8331,83.31,-0.42400756722781807,4.020746638873769,0.00894361417667283,1.5083670616149902
2,0.6449,0.7972,79.72,-0.5045795883599888,4.047105414655963,0.009730602215144284,2.3494627475738525
3,0.64,0.7583,75.83,-0.7675569127587711,4.123105376099392,0.010461665586721259,3.139918327331543
4,0.6286,0.711,71.1,-0.9795827304615694,4.123105352762412,0.010898050860373654,3.9429702758789062
5,0.6186,0.6585,65.85,-1.199197311173467,4.123105519917721,0.011245138936676367,4.733799934387207
6,0.6012,0.5964,59.64,-1.571431815624237,4.123105653408436,0.01144164944118871,5.52352237701416
7,0.5876,0.5355,53.55,-2.224079216227812,4.123105614201691,0.011709264677813688,6.317769289016724
8,0.5688,0.4668,46.68,-2.7775630950927734,4.123105629265708,0.01201653487759286,7.124678373336792
9,0.553,0.3883,38.83,-3.288211184389451,4.123105590746612,0.01200176679562964,7.92590594291687
10,0.5325,0.3109,31.09,-4.151541387333589,4.123105605093696,0.012219520294755207,8.71370792388916
