config_id,status,unlearn_lr,momentum,grad_clip,lambda_retain,proximal_mu,clean_acc_before,ASR_before,clean_acc_after,ASR_after,ASR_after_percent,target_client_size,poison_num,elapsed_seconds,result_path
retain_lr0p0005_clip1_lam0p5,ok,0.0005,0.0,1.0,0.5,0.0,0.6512,0.8581,0.6129,0.6109,61.09,1027,821,11.04266095161438,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_retain_grid_seed0/retain_lr0p0005_clip1_lam0p5/result.json
retain_lr0p0005_clip1_lam1,ok,0.0005,0.0,1.0,1.0,0.0,0.6512,0.8581,0.6294,0.6673,66.73,1027,821,10.812480926513672,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_retain_grid_seed0/retain_lr0p0005_clip1_lam1/result.json
retain_lr0p0005_clip1_lam2,ok,0.0005,0.0,1.0,2.0,0.0,0.6512,0.8581,0.6414,0.7423,74.22999999999999,1027,821,10.767046928405762,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_retain_grid_seed0/retain_lr0p0005_clip1_lam2/result.json
retain_lr0p0005_clip1_lam5,ok,0.0005,0.0,1.0,5.0,0.0,0.6512,0.8581,0.6533,0.8293,82.93,1027,821,10.835075616836548,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_retain_grid_seed0/retain_lr0p0005_clip1_lam5/result.json
retain_lr0p0005_clip1_lam10,ok,0.0005,0.0,1.0,10.0,0.0,0.6512,0.8581,0.6522,0.8449,84.49,1027,821,10.63720178604126,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_retain_grid_seed0/retain_lr0p0005_clip1_lam10/result.json
retain_lr0p0005_clip2_lam0p5,ok,0.0005,0.0,2.0,0.5,0.0,0.6512,0.8581,0.5241,0.1942,19.42,1027,821,10.708985328674316,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_retain_grid_seed0/retain_lr0p0005_clip2_lam0p5/result.json
retain_lr0p0005_clip2_lam1,ok,0.0005,0.0,2.0,1.0,0.0,0.6512,0.8581,0.5665,0.2939,29.39,1027,821,10.6068856716156,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_retain_grid_seed0/retain_lr0p0005_clip2_lam1/result.json
retain_lr0p0005_clip2_lam2,ok,0.0005,0.0,2.0,2.0,0.0,0.6512,0.8581,0.6185,0.5411,54.11,1027,821,10.637409210205078,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_retain_grid_seed0/retain_lr0p0005_clip2_lam2/result.json
retain_lr0p0005_clip2_lam5,ok,0.0005,0.0,2.0,5.0,0.0,0.6512,0.8581,0.6533,0.7813,78.13,1027,821,10.900594234466553,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_retain_grid_seed0/retain_lr0p0005_clip2_lam5/result.json
retain_lr0p0005_clip2_lam10,ok,0.0005,0.0,2.0,10.0,0.0,0.6512,0.8581,0.6546,0.8345,83.45,1027,821,10.650970458984375,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_retain_grid_seed0/retain_lr0p0005_clip2_lam10/result.json
retain_lr0p0005_clip5_lam0p5,ok,0.0005,0.0,5.0,0.5,0.0,0.6512,0.8581,0.1349,0.0,0.0,1027,821,10.733967542648315,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_retain_grid_seed0/retain_lr0p0005_clip5_lam0p5/result.json
retain_lr0p0005_clip5_lam1,ok,0.0005,0.0,5.0,1.0,0.0,0.6512,0.8581,0.2784,0.0,0.0,1027,821,10.818737745285034,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_retain_grid_seed0/retain_lr0p0005_clip5_lam1/result.json
retain_lr0p0005_clip5_lam2,ok,0.0005,0.0,5.0,2.0,0.0,0.6512,0.8581,0.5322,0.0005,0.05,1027,821,10.581263303756714,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_retain_grid_seed0/retain_lr0p0005_clip5_lam2/result.json
retain_lr0p0005_clip5_lam5,ok,0.0005,0.0,5.0,5.0,0.0,0.6512,0.8581,0.6365,0.5192,51.92,1027,821,10.629502296447754,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_retain_grid_seed0/retain_lr0p0005_clip5_lam5/result.json
