round,clean_acc,ASR,ASR_percent,forget_ce,retain_ce,total_loss,grad_l2_norm,update_l2_norm,clean_drop_pp,ASR_drop_pp,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,0.0,0.0,0.7436985969543457
1,0.6514,0.8462,84.61999999999999,0.3547188893837087,0.700383607079001,3.147199167924769,20.615528247832682,0.012171999460857836,-0.019999999999997797,1.1900000000000022,1.6532998085021973
2,0.6545,0.8312,83.12,0.40967186124009247,0.6919261111932642,3.049958677852855,20.615527504393462,0.012181044826817216,-0.32999999999999696,2.6899999999999924,2.5845718383789062
3,0.6522,0.8031,80.31,0.6483956049470341,0.697163462638855,2.8374217678518856,20.61552824930271,0.012844052539204832,-0.10000000000000009,5.499999999999994,3.484074831008911
4,0.6521,0.7777,77.77,0.6210655165178811,0.6676056665532729,2.71696278628181,20.615527748241014,0.013220861113179164,-0.09000000000000119,8.040000000000003,4.392069101333618
5,0.6496,0.7444,74.44,0.8428618522251353,0.6591831270386191,2.4530537549187157,20.615528554428,0.01398518392796448,0.16000000000000458,11.370000000000003,5.290710210800171
6,0.6476,0.7099,70.99,1.0779272528255688,0.7065777112455929,2.4549612648346844,20.615528652729417,0.014078741320656356,0.36000000000000476,14.82,6.2364115715026855
7,0.647,0.6708,67.08,1.2645256133640514,0.6862609631874982,2.1667791604995728,20.61552818584324,0.014343050672257268,0.41999999999999815,18.730000000000004,7.140458345413208
8,0.644,0.636,63.6,1.5523771222899942,0.7172397497822257,2.0338216248680565,20.6155279215636,0.013852310907801743,0.7199999999999984,22.209999999999997,8.050382614135742
9,0.6405,0.5805,58.050000000000004,2.10424700905295,0.7588818809565376,1.6901624272851383,20.615528449100786,0.015195523030974307,1.0700000000000043,27.759999999999994,8.979894399642944
10,0.6365,0.5192,51.92,2.3313600175520954,0.7455388377694523,1.3963341432459213,20.615527538605487,0.016601420585748965,1.4700000000000046,33.89,9.923796892166138
