round,clean_acc,ASR,ASR_percent,forget_ce,retain_ce,total_loss,grad_l2_norm,update_l2_norm,clean_drop_pp,ASR_drop_pp,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,0.0,0.0,0.7356181144714355
1,0.6324,0.7137,71.37,0.5735461299910265,0.7477674764745376,-0.1996623917537577,20.615525729694465,0.039792455831322064,1.880000000000004,14.439999999999998,1.6598622798919678
2,0.5821,0.4668,46.68,1.8192357315736658,0.8625071960337022,-1.3879821475814371,20.615527656110967,0.04804076210511607,6.9100000000000055,39.129999999999995,2.5764522552490234
3,0.5082,0.1521,15.21,4.563316962298225,1.3567206614157732,-3.8849566333434162,20.615528228971826,0.052487377808904216,14.3,70.6,3.4904210567474365
4,0.4094,0.0111,1.11,8.667330882128548,2.2097025618833652,-7.56247963624842,20.615528271774853,0.05291407353831633,24.18,84.7,4.409147500991821
5,0.2852,0.0002,0.02,15.912709741031422,3.9498911324669335,-13.937764223884134,20.615528223213456,0.054451460108202496,36.6,85.79,5.338167905807495
6,0.1909,0.0,0.0,23.065773010253906,7.087080226225011,-19.52223300933838,20.61552801528372,0.054805305370919745,46.03,85.81,6.250340461730957
7,0.1375,0.0,0.0,33.499229431152344,11.119371834923239,-27.93954355576459,20.615527348166328,0.05535065825422544,51.370000000000005,85.81,7.1655848026275635
8,0.1127,0.0,0.0,43.33778067196117,16.02782658969655,-35.32386723686667,20.615528006810752,0.05535664440531549,53.849999999999994,85.81,8.071054220199585
9,0.1024,0.0,0.0,56.906953250660614,20.532278397504022,-46.64081371531767,20.61552772131898,0.0561873654641004,54.879999999999995,85.81,8.972371816635132
10,0.1001,0.0,0.0,71.97780878403607,26.21364413990694,-58.870986714082605,20.61552804875549,0.056387757751570004,55.11000000000001,85.81,9.891489505767822
