round,clean_acc,ASR,ASR_percent,unlearn_loss,forget_ce,retain_ce,proximal_loss,objective_loss,grad_l2_norm,update_l2_norm,grad_clip,clipped_grad_norm_before,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,,,5.0,,0.7373099327087402
1,0.6,0.5788,57.879999999999995,-1.0017768968554104,1.0017768968554104,,,-1.0017768968554104,20.615526484023857,0.06682945535658667,5.0,206.35019333515947,1.5483684539794922
2,0.4706,0.141,14.099999999999998,-4.193918950417462,4.193918950417462,,,-4.193918950417462,20.61552801189767,0.07567070829854415,5.0,338.99679974400044,2.3666951656341553
3,0.2651,0.001,0.1,-11.058790543500114,11.058790543500114,,,-11.058790543500114,20.615528736319362,0.0793264434951417,5.0,584.1660394773489,3.174283981323242
4,0.1361,0.0,0.0,-23.309123319738053,23.309123319738053,,,-23.309123319738053,20.615527695563983,0.08065928923218792,5.0,740.3462161921041,3.9898242950439453
5,0.1022,0.0,0.0,-38.608251459458295,38.608251459458295,,,-38.608251459458295,20.615527884908058,0.0814727499781003,5.0,908.6683762147808,4.798512697219849
6,0.1,0.0,0.0,-55.25702252107508,55.25702252107508,,,-55.25702252107508,20.61552785737799,0.08162909309804718,5.0,1011.3270136543003,5.623051166534424
7,0.1,0.0,0.0,-75.98261260986328,75.98261260986328,,,-75.98261260986328,20.61552790644878,0.0821218514201461,5.0,1159.5912605819467,6.441619396209717
8,0.1,0.0,0.0,-103.22631476907169,103.22631476907169,,,-103.22631476907169,20.615528136804635,0.08283168329989408,5.0,1383.8683892342763,7.261021137237549
9,0.1,0.0,0.0,-131.4545395795037,131.4545395795037,,,-131.4545395795037,20.615528307900217,0.08309994244561607,5.0,1568.970159059268,8.08079981803894
10,0.1,0.0,0.0,-166.01436659869026,166.01436659869026,,,-166.01436659869026,20.615528372343313,0.08310991310963282,5.0,1814.2038140445868,8.898202180862427
