name,status,algorithm_modification,objective,clean_acc_before,ASR_before,clean_acc_after,ASR_after,ASR_after_percent,clean_accuracy_collapsed,target_client_size,poison_num,elapsed_seconds,result_path
baseline_current_lr001_m09,ok,False,-CE(forget_poisoned),0.6512,0.8581,0.1,0.0,0.0,True,1027,821,9.805355548858643,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_stability_grid_seed0/baseline_current_lr001_m09/result.json
low_lr_0.003_m0,ok,True,-CE(forget_poisoned),0.6512,0.8581,0.1,0.0,0.0,True,1027,821,9.577619075775146,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_stability_grid_seed0/low_lr_0p003_m0/result.json
low_lr_0.001_m0,ok,True,-CE(forget_poisoned),0.6512,0.8581,0.1,0.0,0.0,True,1027,821,9.561370134353638,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_stability_grid_seed0/low_lr_0p001_m0/result.json
low_lr_0.0005_m0,ok,True,-CE(forget_poisoned),0.6512,0.8581,0.1,0.0,0.0,True,1027,821,9.626007795333862,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_stability_grid_seed0/low_lr_0p0005_m0/result.json
low_lr_0.0001_m0,ok,True,-CE(forget_poisoned),0.6512,0.8581,0.1,0.0,0.0,True,1027,821,9.5981125831604,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_stability_grid_seed0/low_lr_0p0001_m0/result.json
clip_lr0.001_c10,ok,True,-CE(forget_poisoned) with grad clipping,0.6512,0.8581,0.1,0.0,0.0,True,1027,821,9.65242314338684,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_stability_grid_seed0/clip_lr0p001_c10/result.json
clip_lr0.001_c5,ok,True,-CE(forget_poisoned) with grad clipping,0.6512,0.8581,0.1,0.0,0.0,True,1027,821,9.600964784622192,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_stability_grid_seed0/clip_lr0p001_c5/result.json
clip_lr0.001_c1,ok,True,-CE(forget_poisoned) with grad clipping,0.6512,0.8581,0.4598,0.1289,12.889999999999999,True,1027,821,9.53130292892456,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_stability_grid_seed0/clip_lr0p001_c1/result.json
clip_lr0.0005_c10,ok,True,-CE(forget_poisoned) with grad clipping,0.6512,0.8581,0.1,0.0,0.0,True,1027,821,9.50697660446167,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_stability_grid_seed0/clip_lr0p0005_c10/result.json
clip_lr0.0005_c5,ok,True,-CE(forget_poisoned) with grad clipping,0.6512,0.8581,0.1015,0.0,0.0,True,1027,821,9.519816398620605,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_stability_grid_seed0/clip_lr0p0005_c5/result.json
clip_lr0.0005_c1,ok,True,-CE(forget_poisoned) with grad clipping,0.6512,0.8581,0.5978,0.5785,57.85,False,1027,821,9.519337892532349,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_stability_grid_seed0/clip_lr0p0005_c1/result.json
prox_lr0.001_mu0.001,ok,True,-CE(forget_poisoned) + 0.5 * proximal_mu * ||theta-theta0||^2,0.6512,0.8581,0.1,0.0,0.0,True,1027,821,10.15276026725769,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_stability_grid_seed0/prox_lr0p001_mu0p001/result.json
prox_lr0.001_mu0.01,ok,True,-CE(forget_poisoned) + 0.5 * proximal_mu * ||theta-theta0||^2,0.6512,0.8581,0.1,0.0,0.0,True,1027,821,10.13172721862793,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_stability_grid_seed0/prox_lr0p001_mu0p01/result.json
prox_lr0.001_mu0.1,ok,True,-CE(forget_poisoned) + 0.5 * proximal_mu * ||theta-theta0||^2,0.6512,0.8581,0.1,0.0,0.0,True,1027,821,10.078725814819336,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_stability_grid_seed0/prox_lr0p001_mu0p1/result.json
prox_lr0.0005_mu0.001,ok,True,-CE(forget_poisoned) + 0.5 * proximal_mu * ||theta-theta0||^2,0.6512,0.8581,0.1017,0.0,0.0,True,1027,821,9.975293636322021,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_stability_grid_seed0/prox_lr0p0005_mu0p001/result.json
prox_lr0.0005_mu0.01,ok,True,-CE(forget_poisoned) + 0.5 * proximal_mu * ||theta-theta0||^2,0.6512,0.8581,0.1012,0.0,0.0,True,1027,821,10.020797967910767,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_stability_grid_seed0/prox_lr0p0005_mu0p01/result.json
prox_lr0.0005_mu0.1,ok,True,-CE(forget_poisoned) + 0.5 * proximal_mu * ||theta-theta0||^2,0.6512,0.8581,0.1021,0.0,0.0,True,1027,821,10.055770874023438,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_stability_grid_seed0/prox_lr0p0005_mu0p1/result.json
retain_lr0005_lam0.1,ok,True,-CE(forget_poisoned) + lambda_retain * CE(retain_clean),0.6512,0.8581,0.1057,0.0,0.0,True,1027,821,10.243177890777588,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_stability_grid_seed0/retain_lr0005_lam0p1/result.json
retain_lr0005_lam0.5,ok,True,-CE(forget_poisoned) + lambda_retain * CE(retain_clean),0.6512,0.8581,0.1346,0.0,0.0,True,1027,821,10.222843170166016,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_stability_grid_seed0/retain_lr0005_lam0p5/result.json
retain_lr0005_lam1,ok,True,-CE(forget_poisoned) + lambda_retain * CE(retain_clean),0.6512,0.8581,0.2703,0.0,0.0,True,1027,821,10.318338632583618,/home/kemove/zlf/FedSGD2/results/table_iv_ours_unlearn_stability_grid_seed0/retain_lr0005_lam1/result.json
