round,clean_acc,ASR,ASR_percent,unlearn_loss,forget_ce,retain_ce,proximal_loss,objective_loss,grad_l2_norm,update_l2_norm,grad_clip,clipped_grad_norm_before,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,,,5.0,,0.7219550609588623
1,0.5955,0.5806,58.06,-0.9734746357973885,0.9734753107323366,,6.806430310349168e-07,-0.9734746357973885,20.61552728203332,0.065547867372764,5.0,162.68361087749608,1.5954341888427734
2,0.4603,0.137,13.700000000000001,-4.066466583925135,4.066471864195431,,5.285720951232018e-06,-4.066466583925135,20.615527800702235,0.0759307713145887,5.0,329.5605386868139,2.46238112449646
3,0.261,0.001,0.1,-11.887238222009996,11.887253649094525,,1.543770646522342e-05,-11.887238222009996,20.61552815558497,0.07968717798395705,5.0,629.8274922152365,3.3347480297088623
4,0.1394,0.0,0.0,-24.491324817433078,24.491355783799115,,3.098808113410247e-05,-24.491324817433078,20.615528266306207,0.08130769741342853,5.0,774.155323396519,4.203787803649902
5,0.1025,0.0,0.0,-38.577881308162915,38.577933591954846,,5.2154580771457404e-05,-38.577881308162915,20.615528079674988,0.08178020244947234,5.0,878.553570699352,5.1059112548828125
6,0.1,0.0,0.0,-57.06828599817612,57.06836565803079,,7.904194310814252e-05,-57.06828599817612,20.6155285975731,0.08213924572392918,5.0,1036.2397504238165,5.972279071807861
7,0.1,0.0,0.0,-77.59963675106273,77.59974849925322,,0.00011180525924668044,-77.59963675106273,20.615527963567022,0.08238785974500032,5.0,1179.3830053122379,6.838463068008423
8,0.1,0.0,0.0,-102.42408303653492,102.42423293169807,,0.00015068894443923936,-102.42408303653492,20.615528049347464,0.08253644474509449,5.0,1362.1554674466236,7.71116304397583
9,0.1,0.0,0.0,-131.2834706025965,131.28366627412683,,0.00019562775303390534,-131.2834706025965,20.6155282082087,0.0828520291008216,5.0,1561.7430490938548,8.58280348777771
10,0.1,0.0,0.0,-164.0325209673713,164.03276869829963,,0.00024680789690190814,-164.0325209673713,20.615528202236074,0.08275383823862563,5.0,1787.439162015663,9.451260328292847
