round,clean_acc,ASR,ASR_percent,unlearn_loss,forget_ce,retain_ce,proximal_loss,objective_loss,grad_l2_norm,update_l2_norm,grad_clip,clipped_grad_norm_before,elapsed_seconds
0,0.6512,0.8581,85.81,,,,,,,,5.0,,0.7157604694366455
1,0.6402,0.7539,75.39,-0.5026463112410378,0.5744341752108406,0.7178786502164953,,-0.5026463112410378,20.615526852471547,0.031166222803653366,5.0,153.15291342579596,1.599348545074463
2,0.6011,0.5805,58.050000000000004,-1.261401604203617,1.3396885289865381,0.7828691812122569,,-1.261401604203617,20.615527609500454,0.03511338667431869,5.0,171.35874212306925,2.4946131706237793
3,0.5527,0.366,36.6,-2.91611946330351,3.0251955144545613,1.0907603642519783,,-2.91611946330351,20.61552819156819,0.03699872842216279,5.0,315.1118595213948,3.376816987991333
4,0.4802,0.1375,13.750000000000002,-5.399871826171875,5.575866629095638,1.7599478749667896,,-5.399871826171875,20.615527780420482,0.038434739223169374,5.0,366.64449223395866,4.260919094085693
5,0.3868,0.0234,2.34,-8.455235817853142,8.72415938096888,2.689235582071192,,-8.455235817853142,20.615528231283026,0.039110849933626186,5.0,513.6847731682918,5.137939214706421
6,0.2851,0.0012,0.12,-12.93169397466323,13.32633949728573,3.946454735363231,,-12.93169397466323,20.615528002096063,0.03972708107488329,5.0,576.7387763271198,6.014369964599609
7,0.2032,0.0001,0.01,-18.807843320509967,19.442865820492017,6.350223653456744,,-18.807843320509967,20.615528385534876,0.04008565364387581,5.0,678.4221383252645,6.891639709472656
8,0.1509,0.0,0.0,-25.537097930908203,26.40418737074908,8.670893949620863,,-25.537097930908203,20.615527940322814,0.04050764438910057,5.0,749.2694014420575,7.769407033920288
9,0.1188,0.0,0.0,-33.117050507489374,34.372349234188306,12.552987435284782,,-33.117050507489374,20.615527853185473,0.04064769266116924,5.0,827.9315674296794,8.676346778869629
10,0.1057,0.0,0.0,-41.5221144732307,43.17932487936581,16.57210709066952,,-41.5221144732307,20.615527961120186,0.04083903027530421,5.0,900.9383252244231,9.552865982055664
